ts_unix_ms,open,high,low,close,volume
1704067200000,1.1,1.1,1.0997,1.1,100
1704067500000,1.1,1.10012,1.0997,1.10006,101
1704067800000,1.10006,1.10029,1.09976,1.10017,102
1704068100000,1.10017,1.1005,1.09988,1.10033,103
1704068400000,1.10033,1.10076,1.10005,1.10054,104
1704068700000,1.10054,1.10104,1.10027,1.10079,105
1704069000000,1.10079,1.10134,1.10053,1.10106,106
1704069300000,1.10106,1.10165,1.10082,1.10135,107
1704069600000,1.10135,1.10195,1.10113,1.10165,108
1704069900000,1.10165,1.10225,1.10145,1.10195,109
1704070200000,1.10195,1.10252,1.10177,1.10224,110
1704070500000,1.10224,1.10276,1.10208,1.10251,111
1704070800000,1.10251,1.10296,1.10238,1.10276,112
1704071100000,1.10276,1.10313,1.10264,1.10297,113
1704071400000,1.10297,1.10325,1.10288,1.10315,114
1704071700000,1.10315,1.10334,1.10309,1.1033,115
1704072000000,1.1033,1.10342,1.10326,1.1034,116
1704072300000,1.1034,1.10356,1.1034,1.10348,117
1704072600000,1.10348,1.10366,1.10346,1.10353,118
1704072900000,1.10353,1.10374,1.10348,1.10356,119
1704073200000,1.10356,1.1038,1.10348,1.10357,120
1704073500000,1.10357,1.10384,1.10347,1.10358,121
1704073800000,1.10358,1.10387,1.10345,1.10359,122
1704074100000,1.10359,1.10391,1.10344,1.10361,123
1704074400000,1.10361,1.10395,1.10344,1.10365,124
1704074700000,1.10365,1.10401,1.10346,1.10372,125
1704075000000,1.10372,1.10409,1.10351,1.10382,126
1704075300000,1.10382,1.10419,1.10359,1.10396,127
1704075600000,1.10396,1.10433,1.10371,1.10414,128
1704075900000,1.10414,1.1045,1.10388,1.10436,129
1704076200000,1.10436,1.1047,1.10409,1.10462,130
1704076500000,1.10462,1.10494,1.10434,1.10491,131
1704076800000,1.10491,1.10527,1.10462,1.10524,132
1704077100000,1.10524,1.10567,1.10494,1.10558,133
1704077400000,1.10558,1.10609,1.10528,1.10594,134
1704077700000,1.10594,1.1065,1.10564,1.1063,135
1704078000000,1.1063,1.10689,1.106,1.10665,136
1704078300000,1.10665,1.10726,1.10636,1.10699,137
1704078600000,1.10699,1.10759,1.1067,1.1073,138
